2024-06-25 23:50:56.745 | INFO     | src.utils.logger:info:25 - 执行函数：get
2024-06-25 23:50:56.755 | INFO     | src.utils.logger:info:25 - 执行参数：('http://www.liuyanzu.tech/task/manage',)
2024-06-25 23:50:59.243 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:50:59.244 | INFO     | src.utils.logger:info:25 - 执行函数：send_keys
2024-06-25 23:50:59.244 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//input[@class="el-input__inner" and @placeholder="username"]'), 'hanbao')
2024-06-25 23:50:59.244 | INFO     | src.utils.logger:info:25 - 执行函数：clear
2024-06-25 23:50:59.245 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//input[@class="el-input__inner" and @placeholder="username"]'),)
2024-06-25 23:50:59.361 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:50:59.390 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:50:59.390 | INFO     | src.utils.logger:info:25 - 执行函数：send_keys
2024-06-25 23:50:59.390 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//input[@class="el-input__inner" and @placeholder="password"]'), '123456')
2024-06-25 23:50:59.391 | INFO     | src.utils.logger:info:25 - 执行函数：clear
2024-06-25 23:50:59.391 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//input[@class="el-input__inner" and @placeholder="password"]'),)
2024-06-25 23:50:59.406 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:50:59.429 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:50:59.430 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:50:59.430 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[text()="登录"]'),)
2024-06-25 23:50:59.450 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:50:59.450 | INFO     | src.utils.logger:info:25 - 执行函数：exist
2024-06-25 23:50:59.451 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//p[text()="登录成功"]'),)
2024-06-25 23:50:59.962 | INFO     | src.utils.logger:info:25 - 执行结果为：[<selenium.webdriver.remote.webelement.WebElement (session="f773efce00b418816334e76789cef744", element="f.5F06A17EC21CB2E94BCA9820F6DE3F4A.d.BF76AC7B9C35F4555CBBDC55F26F6224.e.20")>]
2024-06-25 23:50:59.962 | INFO     | src.utils.logger:info:25 - 执行函数：get
2024-06-25 23:50:59.963 | INFO     | src.utils.logger:info:25 - 执行参数：('http://www.liuyanzu.tech/task/manage',)
2024-06-25 23:51:00.071 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.071 | INFO     | src.utils.logger:info:25 - 执行函数：click
